Comments,Processed Comments
shame to the government nakakahiya ang pagka lusak ng pinas🥺,['shame to the government nakakahiya ang pagka lusak ng pinas🥺']
VP Sarah salute po we love you po... strong always,['VP Sarah salute po we love you po... strong always']
"yung galawang sarah very well ang action ah, she wants to know who is the true villain, and ngayon palang nalama","['yung galawang sarah very well ang action ah, she wants to know who is the true villain, and ngayon palang nalama']"
checkmate kung cno ang kalaban. yari kyo sa 2028 lampaso is coming,['checkmate kung cno ang kalaban. yari kyo sa 2028 lampaso is coming']
how about sa Phil health na billion2x ang nawala,['how about sa Phil health na billion2x ang nawala']
wala ata budget for housing ang goverment kahit saan ka tumingin,['wala ata budget for housing ang goverment kahit saan ka tumingin']
Bagong Pilipinas with PBBM ang pag-asa namin💚❤️,['Bagong Pilipinas with PBBM ang pag-asa namin💚❤️']
Being softhearted is not easy I'm been crying for 24hours and I can't forget it in my mind durog na durog ang puso ko,['Being softhearted is not easy I'm been crying for 24hours and I can't forget it in my mind durog na durog ang puso ko']
mainit and masikip pala eh bakit nanjan pa kayo? both my parents were OFW pero we grew up comfortable at may maayos na bahay,"['mainit and masikip pala eh bakit nanjan pa kayo? both my parents were OFW', 'pero we grew up comfortable at may maayos na bahay']"
"so, sino po ang mga liable sa nangyari? at anu-ano po pananagutan nila?","['so, sino po ang mga liable sa nangyari? at anu-ano po pananagutan nila?']"
"for sure itutuon nanamn to sa politika, wag guys wlang kinalaman politika dto","['for sure itutuon nanamn to sa politika, wag guys wlang kinalaman politika dto']"
pano nagkatao jan bukod sa mga construction workers and nagtitinda malapit sa site?,['pano nagkatao jan bukod sa mga construction workers and nagtitinda malapit sa site?']
mama ko asa pampanga di narin nag paparamdam samin i hope she's safe,['mama ko asa pampanga di narin nag paparamdam samin i hope she's safe']
where the lie sa sinabi ni sen. tulfo tho?,['where the lie sa sinabi ni sen. tulfo tho?']
"why not, work from home is a thing now di po ba! kahit lahat kayo mag session sa zoom.","['why not, work from home is a thing now di po ba! kahit lahat kayo mag session sa zoom.']"
this is separate ang nabubulok sa d nabubulok. see on next election 2025/2028,['this is separate ang nabubulok sa d nabubulok. see on next election 2025/2028']
"Wise move Madam Sarah, wala palakang komokokak, this is the Silent Code, continue the Confidential Moves even without Funding","['Wise move Madam Sarah, wala palakang komokokak, this is the Silent Code, continue the Confidential Moves even without Funding']"
asan na yung mga nagtatanong about sa flood control??,['asan na yung mga nagtatanong about sa flood control??']
"how about sa confi ng Philhealth, saan napunta ang pera?","['how about sa confi ng Philhealth, saan napunta ang pera?']"
"Please protect the child, ang sakit ng puso ko😭","['Please protect the child, ang sakit ng puso ko😭']"
"daming oldies sa comsec not to defend him pero di naman yan walang nasagot, he used non-verbal communication via a facial gesture. Tinuro po yan sa high school","['daming oldies sa comsec not to defend him', 'pero di naman yan walang nasagot, he used non-verbal communication via a facial gesture.', 'Tinuro po yan sa high school']"
napaka desente always kalma lng cya the best ka talaga aming PBBM,['napaka desente always kalma lng cya the best ka talaga aming PBBM']
Fun Fact: pwede niyo na irepost kapag ni-long press ang like.,['Fun Fact: pwede niyo na irepost kapag ni-long press ang like.']
"so mga pundo naman congresman ang pag usapan, at saan napunta?","['so mga pundo naman congresman ang pag usapan, at saan napunta?']"
Question kung alam kaya ng DEPED ang ginagawa ng Red Cross na mag aask sa mga school for registration daw,"['Question kung alam', 'kaya ng DEPED ang ginagawa ng Red Cross na mag aask sa mga school for registration daw']"
asan si Isko? hindi ba siya dapat mag explain nito?,['asan si Isko? hindi ba siya dapat mag explain nito?']
"grabe talaga ang graft and corruption sa gobyerno natin, never ending story na ito","['grabe talaga ang graft and corruption sa gobyerno natin, never ending story na ito']"
"ang dami nang nagsasabi nito pero walang nangyayari, classic Philippines😂😂😂","['ang dami nang nagsasabi nito', 'pero walang nangyayari, classic Philippines😂😂😂']"
"nakakalungkot naman, these people deserve better housing not just promises","['nakakalungkot naman, these people deserve better housing not just promises']"
"I think the government should prioritize this, maraming pamilya ang apektado","['I think the government should prioritize this, maraming pamilya ang apektado']"
"hindi ko maintindihan bakit ganito pa rin tayo, so many years na","['hindi ko maintindihan bakit ganito pa rin tayo, so many years na']"
"sana maaayos na ito ng bagong administrasyon, fingers crossed","['sana maaayos na ito ng bagong administrasyon, fingers crossed']"
"grabe yung living conditions, parang third world country pa rin tayo","['grabe yung living conditions, parang third world country pa rin tayo']"
"thank you sa nag share nito, dapat malaman ng lahat ang katotohanan","['thank you sa nag share nito, dapat malaman ng lahat ang katotohanan']"
"grabe yung sitwasyon ng informal settlers, the government should do something about it hindi lang puro news coverage","['grabe yung sitwasyon ng informal settlers, the government should do something about it hindi lang puro news coverage']"
"nakakaawa yung mga tao doon, they deserve proper housing hindi lang relocation na malayo sa trabaho nila","['nakakaawa yung mga tao doon, they deserve proper housing hindi lang relocation na malayo sa trabaho nila']"
"ito na naman, another infrastructure project tapos after a few years bumabagsak na. saan napupunta ang pondo?","['ito na naman, another infrastructure project', 'tapos after a few years bumabagsak na. saan napupunta ang pondo?']"
"hindi ko maintindihan bakit hindi pa naaayos ito, it's been years na. kailan pa?","['hindi ko maintindihan bakit hindi pa naaayos ito, it's been years na. kailan pa?']"
"ang laking problema ng housing sa Pinas, millions of Filipinos ang walang decent na tirahan","['ang laking problema ng housing sa Pinas, millions of Filipinos ang walang decent na tirahan']"
"this is not just about houses, ito ay tungkol sa dignidad ng mga Pilipino","['this is not just about houses, ito ay tungkol sa dignidad ng mga Pilipino']"
"need ng gobyerno ng long term plan for this, hindi lang band-aid solutions💙","['need ng gobyerno ng long term plan for this, hindi lang band-aid solutions💙']"
"grabe ang tagal ng process para sa socialized housing, by the time maaprubahan wala na yung nangangailangan","['grabe ang tagal ng process para sa socialized housing, by the time maaprubahan wala na yung nangangailangan']"
maraming pera sa gobyerno pero saan napupunta? hindi sa mga mahihirap,"['maraming pera sa gobyerno', 'pero saan napupunta? hindi sa mga mahihirap']"
"sana mabigyan sila ng permanent solution, not just temporary shelter na masisira rin","['sana mabigyan sila ng permanent solution, not just temporary shelter na masisira rin']"
ang ganda ng news pero sana ma-follow through. daming pangako na hindi natutuparan,"['ang ganda ng news', 'pero sana ma-follow through. daming pangako na hindi natutuparan']"
"hindi lang housing ang kailangan nila, need din ng livelihood programs para makatayo sa sariling paa","['hindi lang housing ang kailangan nila, need din ng livelihood programs para makatayo sa sariling paa']"
"grabe the scale of poverty in the Philippines, and yet meron pa ring mga nagnanakaw sa kaban ng bayan","['grabe the scale of poverty in the Philippines, and yet meron pa ring mga nagnanakaw sa kaban ng bayan']"
"dapat may accountability dito, sino ang may kasalanan at saan sila ngayon?","['dapat may accountability dito, sino ang may kasalanan at saan sila ngayon?']"
kahit maliit na tulong ay malaking bagay sa kanila. spread kindness guys❤️,['kahit maliit na tulong ay malaking bagay sa kanila. spread kindness guys❤️']
"ang gulo ng senate lately, parang teleserye na hindi matatapos. sino ba talaga ang tapat?","['ang gulo ng senate lately, parang teleserye na hindi matatapos. sino ba talaga ang tapat?']"
"I'm so tired of partisan politics, lahat na lang ginagawang pampulitika kahit simpleng batas","['I'm so tired of partisan politics, lahat na lang ginagawang pampulitika kahit simpleng batas']"
"grabe yung debate sa senate kanina, parang hindi sila adults na dapat nagdedesisyon para sa bansa","['grabe yung debate sa senate kanina, parang hindi sila adults na dapat nagdedesisyon para sa bansa']"
sino ba talaga ang may favor ng mga Pilipino dito? it seems like everyone has their own agenda,['sino ba talaga ang may favor ng mga Pilipino dito? it seems like everyone has their own agenda']
nakakatawa at nakakaiyak at the same time ang nangyayari sa senate natin,['nakakatawa at nakakaiyak at the same time ang nangyayari sa senate natin']
"dapat matahimik sila at gawin ang trabaho nila, maraming batas na hindi pa napapasa","['dapat matahimik sila at gawin ang trabaho nila, maraming batas na hindi pa napapasa']"
"I support the walkout, kailangan ng prinsipyo sa pulitika hindi lang political maneuvering","['I support the walkout, kailangan ng prinsipyo sa pulitika hindi lang political maneuvering']"
"ang laki ng sweldo nila pero ganito ang performance, taxpayers money wasted☹️","['ang laki ng sweldo nila', 'pero ganito ang performance, taxpayers money wasted☹️']"
"grabe ang lakas ng loob nila, as if wala silang accountability sa taumbayan","['grabe ang lakas ng loob nila, as if wala silang accountability sa taumbayan']"
"sana magising na ang mga botante, we deserve better leaders💙","['sana magising na ang mga botante, we deserve better leaders💙']"
kahit anong gawin nila sa senate wala ring mababago kung ganyan ang sistema,['kahit anong gawin nila sa senate wala ring mababago kung ganyan ang sistema']
"this is why young people are apathetic sa politics, walang kwenta ang mga nasa pwesto😡","['this is why young people are apathetic sa politics, walang kwenta ang mga nasa pwesto😡']"
hindi ko maisip na ganito pala ang nangyayari sa likod ng cameras sa senate,['hindi ko maisip na ganito pala ang nangyayari sa likod ng cameras sa senate']
need na ng term limits para mapalitan na ang mga matanda at lipas na sa panahon,['need na ng term limits para mapalitan na ang mga matanda at lipas na sa panahon']
grabe ang gall nila to fight over procedural issues when millions are suffering,['grabe ang gall nila to fight over procedural issues when millions are suffering']
"proud of VP Sara for standing her ground, hindi siya nagpapadala sa pressure","['proud of VP Sara for standing her ground, hindi siya nagpapadala sa pressure']"
I don't care what side you're on but the process should be fair lahat ng tao may karapatang magdepensa,['I don't care what side you're on but the process should be fair lahat ng tao may karapatang magdepensa']
"nakakainis yung mga paninira, let the truth come out through proper process","['nakakainis yung mga paninira, let the truth come out through proper process']"
"ang daming nagmamaalam pero wala namang concrete evidence, tsismis lang","['ang daming nagmamaalam', 'pero wala namang concrete evidence, tsismis lang']"
"whether you like her or not, due process is due process. hayaan na ang korte","['whether you like her or not, due process is due process. hayaan na ang korte']"
"grabe yung politikang ginagawa nila, ginagamit ang impeachment bilang political weapon","['grabe yung politikang ginagawa nila, ginagamit ang impeachment bilang political weapon']"
"I think both sides have valid points, pero dapat sa tamang forum ito mapagusapan hindi sa social media","['I think both sides have valid points, pero dapat sa tamang forum ito mapagusapan hindi sa social media']"
"ang daming nagcocomment na hindi naman nanonood ng actual proceedings, based lang sa memes","['ang daming nagcocomment na hindi naman nanonood ng actual proceedings, based lang sa memes']"
sana matapos na ito para makapag focus na ang gobyerno sa mga tunay na problema ng bansa,['sana matapos na ito para makapag focus na ang gobyerno sa mga tunay na problema ng bansa']
"kahit sino pa ang panalo o matalo dito, ang bayan pa rin ang talo sa katapusan","['kahit sino pa ang panalo o matalo dito, ang bayan pa rin ang talo sa katapusan']"
"taon-taon ganito sa Maynila, every rainy season baha na naman. kailan masosolusyunan?","['taon-taon ganito sa Maynila, every rainy season baha na naman. kailan masosolusyunan?']"
grabe ang binabayad nating buwis pero walang ayos na drainage system sa buong bansa,"['grabe ang binabayad nating buwis', 'pero walang ayos na drainage system sa buong bansa']"
"hindi lang baha ang problema, the response ng gobyerno sa calamities is consistently bad","['hindi lang baha ang problema, the response ng gobyerno sa calamities is consistently bad']"
"nakakaawa ang mga biktima ng baha, they lose everything in just a few hours","['nakakaawa ang mga biktima ng baha, they lose everything in just a few hours']"
"dapat may konkreto na action plan, hindi lang press conferences at photo ops","['dapat may konkreto na action plan, hindi lang press conferences at photo ops']"
"ito na naman, flooding in the same areas every year. parang wala namang natutunan","['ito na naman, flooding in the same areas every year. parang wala namang natutunan']"
"grabe ang climate change effect sa atin, mas madalas na ang extreme weather events","['grabe ang climate change effect sa atin, mas madalas na ang extreme weather events']"
"I donated to the relief operations, please help din kung kaya ninyo❤️❤️❤️","['I donated to the relief operations, please help din kung', 'kaya ninyo❤️❤️❤️]"
"ang sakit na panoorin ang mga bata na nasa tubig, sana may makatulong sa kanila","['ang sakit na panoorin ang mga bata na nasa tubig, sana may makatulong sa kanila']"
"hindi na mabibilang ang beses na nag flood dito, systemic problem na ito","['hindi na mabibilang ang beses na nag flood dito, systemic problem na ito']"
"grabe yung Philhealth scandal, billions missing and yet pag kailangan mo hindi pa rin sapat ang coverage","['grabe yung Philhealth scandal, billions missing and yet pag kailangan mo hindi pa rin sapat ang coverage']"
my relative got hospitalized and ang dami pa ring out of pocket expenses kahit may Philhealth,['my relative got hospitalized and ang dami pa ring out of pocket expenses kahit may Philhealth']
dapat i-audit ang lahat ng pondo ng Philhealth at ipakulong ang mga nagnanakaw,['dapat i-audit ang lahat ng pondo ng Philhealth at ipakulong ang mga nagnanakaw']
the irony is ang mga pinaka-nangangailangan ng healthcare ang pinaka hindi naseserbisyuhan,['the irony is ang mga pinaka-nangangailangan ng healthcare ang pinaka hindi naseserbisyuhan']
"grabe ang pila sa public hospitals, we need more doctors and nurses and better pay para hindi sila mag-abroad","['grabe ang pila sa public hospitals, we need more doctors and nurses and better pay para hindi sila mag-abroad']"
"I had a bad experience sa public hospital, sobrang understaffed. parang hindi priority ang health ng Pilipino","['I had a bad experience sa public hospital, sobrang understaffed. parang hindi priority ang health ng Pilipino']"
"dapat libre ang basic healthcare, hindi lang sa papel kundi sa aktwal na serbisyo","['dapat libre ang basic healthcare, hindi lang sa papel kundi sa aktwal na serbisyo']"
"ang daming Pinoy nurses abroad pero kulang sa nurses sa Pinas, ironic but understandable","['ang daming Pinoy nurses abroad', 'pero kulang sa nurses sa Pinas, ironic but understandable']"
"sana may free medicine program na totoo, hindi lang pamigay bago election","['sana may free medicine program na totoo, hindi lang pamigay bago election']"
"health is a right, not a privilege. gobyerno dapat kumilos na","['health is a right, not a privilege. gobyerno dapat kumilos na']"
"grabe yung reading comprehension problem sa mga bata, and the solution is pa more modules?","['grabe yung reading comprehension problem sa mga bata, and the solution is pa more modules?']"
"hindi sumasalamin sa realidad ang mga kurikulum, dapat mas practical ang tinuturo sa mga bata","['hindi sumasalamin sa realidad ang mga kurikulum, dapat mas practical ang tinuturo sa mga bata']"
"ang hirap ng parents ngayon, they have to supplement the education ng anak nila dahil kulang ang sa school","['ang hirap ng parents ngayon, they have to supplement the education ng anak nila dahil kulang ang sa school']"
"I appreciate the teachers pero they're overworked and underpaid, that's the real problem","['I appreciate the teachers', 'pero they're overworked and underpaid, that's the real problem']"
"maraming schools na kulang sa classrooms, kulang sa chairs, kulang sa books. where is the budget?","['maraming schools na kulang sa classrooms, kulang sa chairs, kulang sa books. where is the budget?']"
"dapat i-revamp ang entire education system, hindi lang mag-adjust ng curriculum","['dapat i-revamp ang entire education system, hindi lang mag-adjust ng curriculum']"
"grabe ang impact ng pandemic sa learning ng mga bata, years of setback","['grabe ang impact ng pandemic sa learning ng mga bata, years of setback']"
"sana mag-invest ng malaki ang gobyerno sa education, that is the real investment sa kinabukasan","['sana mag-invest ng malaki ang gobyerno sa education, that is the real investment sa kinabukasan']"
"ang daming out of school youth, we need programs para maabot sila","['ang daming out of school youth, we need programs para maabot sila']"
hindi fair na ang kalidad ng education ay nakadepende kung saan ka nakatira o kung may pera ang pamilya mo,['hindi fair na ang kalidad ng education ay nakadepende kung saan ka nakatira o kung may pera ang pamilya mo']
I'm giving this administration a chance pero sana hindi lang salita ang programa,"['I'm giving this administration a chance', 'pero sana hindi lang salita ang programa']"
"grabe ang rice prices ngayon, what happened to the promise of affordable rice?🙄","['grabe ang rice prices ngayon, what happened to the promise of affordable rice?🙄']"
"hindi ko masabi na okay o hindi ang performance ng admin, pero marami pa dapat gawin","['hindi ko masabi na okay o hindi ang performance ng admin, pero marami pa dapat gawin']"
"yung mga defenders ay kulang sa kritisismo, blind support is not patriotism","['yung mga defenders ay kulang sa kritisismo, blind support is not patriotism']"
I voted for change and I hope the change is real hindi lang branding,['I voted for change and I hope the change is real hindi lang branding']
"ang daming nagrereklamo pero wala namang alternative na inaalok, easy to criticize hard to govern","['ang daming nagrereklamo', 'pero wala namang alternative na inaalok, easy to criticize hard to govern']"
sana mabigyan ng pagkakataon ang bagong administrasyon bago husgahan,['sana mabigyan ng pagkakataon ang bagong administrasyon bago husgahan']
"the economy is struggling and we need real solutions, not just press releases","['the economy is struggling and we need real solutions, not just press releases']"
"grabe ang utang ng bansa, we need fiscal responsibility not more borrowing","['grabe ang utang ng bansa, we need fiscal responsibility not more borrowing']"
"I hope the promises during campaign are not just promises, the people are watching","['I hope the promises during campaign are not just promises, the people are watching']"
"grabe ang traffic sa EDSA, it never gets better kahit anong proyekto ang ginagawa","['grabe ang traffic sa EDSA, it never gets better kahit anong proyekto ang ginagawa']"
"I spend 3 hours commuting every day, this is not a quality of life","['I spend 3 hours commuting every day, this is not a quality of life']"
"bakit ang tagal ng MRT repair, years na since sinabi nilang aayusin","['bakit ang tagal ng MRT repair, years na since sinabi nilang aayusin']"
ang jeepney modernization is a good idea in theory pero yung implementation ay palpak,"['ang jeepney modernization is a good idea in theory', 'pero yung implementation ay palpak']"
"hindi maayos ang public transportation so lahat ng may pera bumibili ng kotse, mas lalo pang nag-traffic","['hindi maayos ang public transportation so lahat ng may pera bumibili ng kotse, mas lalo pang nag-traffic']"
ang daming infra projects pero bakit hindi pa rin nararamdaman ng commuters ang improvement,"['ang daming infra projects', 'pero bakit hindi pa rin nararamdaman ng commuters ang improvement']"
"grabe ang buhay ng mga driver, kumikita lang sila ng konti pero ang daming bayarin","['grabe ang buhay ng mga driver, kumikita lang sila ng konti', 'pero ang daming bayarin']"
"sana may dedicated bike lane sa lahat ng major roads, mas sustainable at hindi matrapiko","['sana may dedicated bike lane sa lahat ng major roads, mas sustainable at hindi matrapiko']"
"I tried the new train line and it's actually okay, sana palawakin pa","['I tried the new train line and it's actually okay, sana palawakin pa']"
ang gobyerno should invest in mass transport not in roads na para lang sa kotse,['ang gobyerno should invest in mass transport not in roads na para lang sa kotse']
"grabe ang sakripisyo ng mga OFW, they leave their families para lang may magawa para sa kanila","['grabe ang sakripisyo ng mga OFW, they leave their families para lang may magawa para sa kanila']"
"I'm an OFW and I miss home every single day, pero walang choice kasi wala dito","['I'm an OFW and I miss home every single day, pero walang choice', 'kasi wala dito']"
"ang problema ay kapag nauwi ang OFW, walang maayos na livelihood na naghihintay sa kanila dito","['ang problema ay kapag nauwi ang OFW, walang maayos na livelihood na naghihintay sa kanila dito']"
"dapat protektahan ng gobyerno ang mga OFW, hindi lang bilang remittance machines","['dapat protektahan ng gobyerno ang mga OFW, hindi lang bilang remittance machines']"
nakakainis na ang sektor na nagpapatakbo ng ekonomiya ay hindi enough ang support ng gobyerno,['nakakainis na ang sektor na nagpapatakbo ng ekonomiya ay hindi enough ang support ng gobyerno']
"yung mga abuso sa abroad ay nakakaiyak, sana mas malakas ang proteksyon ng POEA","['yung mga abuso sa abroad ay nakakaiyak, sana mas malakas ang proteksyon ng POEA']"
grabe ang baon ng utang ng mga nagpunta abroad para makarating lang doon,['grabe ang baon ng utang ng mga nagpunta abroad para makarating lang doon']
I admire the resilience ng mga OFW pero sana hindi na kailangan pa nilang mag-OFW,"['I admire the resilience ng mga OFW', 'pero sana hindi na kailangan pa nilang mag-OFW']"
"ang pangarap lang namin ay mapabuti ang buhay ng pamilya, simple lang pero ang hirap abutin","['ang pangarap lang namin ay mapabuti ang buhay ng pamilya, simple lang', 'pero ang hirap abutin']"
sana dumating ang araw na hindi na kailangan mag-abroad para may magandang kinabukasan,['sana dumating ang araw na hindi na kailangan mag-abroad para may magandang kinabukasan']
"grabe ang viral video na yon, nakakaiyak talaga. hope the family gets the help they need","['grabe ang viral video na yon, nakakaiyak talaga. hope the family gets the help they need']"
"yung trending ngayon sa twitter is actually important, hindi lang showbiz chika","['yung trending ngayon sa twitter is actually important, hindi lang showbiz chika']"
"ang dami nang nagsasabi ng fake news, please verify bago i-share🙂","['ang dami nang nagsasabi ng fake news, please verify bago i-share🙂']"
nakakatawa yung meme but if you think about it deep ang message,['nakakatawa yung meme but if you think about it deep ang message']
"I saw this on tiktok and I had to share, this is the kind of content na kailangan natin","['I saw this on tiktok and I had to share, this is the kind of content na kailangan natin']"
"grabe ang hate comments sa post na yon, cyberbullying is real and it hurts people😔😔","['grabe ang hate comments sa post na yon, cyberbullying is real and it hurts people😔😔']"
"sana ma-educate ang mga Pilipino sa media literacy, marami pa ring nabibiktima ng disinformation","['sana ma-educate ang mga Pilipino sa media literacy, marami pa ring nabibiktima ng disinformation']"
"ang power ng social media to mobilize people is amazing, look at what happened","['ang power ng social media to mobilize people is amazing, look at what happened']"
"hindi natin dapat gawing platform ng hate ang social media, it should connect us not divide","['hindi natin dapat gawing platform ng hate ang social media, it should connect us not divide']"
"yung influencer na yon is problematic, pero ang daming sumusuporta pa rin. baffling","['yung influencer na yon is problematic, pero ang daming sumusuporta pa rin. baffling']"
"grabe si Carlos Yulo, pride of the Philippines talaga. what an athlete","['grabe si Carlos Yulo, pride of the Philippines talaga. what an athlete']"
sana suportahan ng gobyerno ang mga atleta natin hindi lang kapag may medal na,['sana suportahan ng gobyerno ang mga atleta natin hindi lang kapag may medal na']
"ang sarap panoorin ng Gilas, they're getting better every tournament","['ang sarap panoorin ng Gilas, they're getting better every tournament']"
I'm not really into sports pero pag Pilipino ang naglalaro automatic supporter,"['I'm not really into sports', 'pero pag Pilipino ang naglalaro automatic supporter']"
"grabe ang performance nila, they left everything on the court. proud ng Pilipinas","['grabe ang performance nila, they left everything on the court. proud ng Pilipinas']"
"sana mapabuti pa ng programa ng sports sa schools, maraming talented kids na walang support","['sana mapabuti pa ng programa ng sports sa schools, maraming talented kids na walang support']"
"grabe ang discrimination sa sports ay real, sana mawala na ito","['grabe ang discrimination sa sports ay real, sana mawala na ito']"
"nanonood ako kahit mahirap yung game, this is what entertainment should feel like","['nanonood ako kahit mahirap yung game, this is what entertainment should feel like']"
"sana ma-qualify tayo sa World Cup, one day mangyayari yan","['sana ma-qualify tayo sa World Cup, one day mangyayari yan']"
"yung bagong pelikula ay masarap panoorin, go support local films guys","['yung bagong pelikula ay masarap panoorin, go support local films guys']"
"grabe ang talent ng mga bagong artists ngayon, the industry is in good hands","['grabe ang talent ng mga bagong artists ngayon, the industry is in good hands']"
"I stopped watching that show because the storyline is too toxic, hindi healthy","['I stopped watching that show because the storyline is too toxic, hindi healthy']"
"nakakainis yung cancel culture, sometimes people deserve second chances","['nakakainis yung cancel culture, sometimes people deserve second chances']"
"ang daming Pinoy content creators abroad na kinikilala internationally, proud","['ang daming Pinoy content creators abroad na kinikilala internationally, proud']"
"grabe ang hype sa concert, nagka-sold out agad. sana accessible ang tickets para sa lahat","['grabe ang hype sa concert, nagka-sold out agad. sana accessible ang tickets para sa lahat']"
"yung celebrity feud ay overblown ng media, there are more important issues","['yung celebrity feud ay overblown ng media, there are more important issues']"
I appreciate na may Pinoy films na internationally recognized na ngayon,['I appreciate na may Pinoy films na internationally recognized na ngayon']
"grabe ang banat ng netizens, everyone is a critic on social media","['grabe ang banat ng netizens, everyone is a critic on social media']"
sana mag-invest ang mga producers sa quality content hindi lang teleserye formula,['sana mag-invest ang mga producers sa quality content hindi lang teleserye formula']
"grabe ang init ngayon, climate change is no longer a future problem it's now","['grabe ang init ngayon, climate change is no longer a future problem it's now']"
"nakakaiyak ang mga coral reefs na nasisira, we're destroying our own food source😭😭","['nakakaiyak ang mga coral reefs na nasisira, we're destroying our own food source😭😭']"
I started segregating waste at home and I encourage others to do the same,['I started segregating waste at home and I encourage others to do the same']
"ang single-use plastics should be banned na, magastos sa planet at sa atin","['ang single-use plastics should be banned na, magastos sa planet at sa atin']"
"grabe ang air pollution sa Metro Manila, need na ng stricter enforcement","['grabe ang air pollution sa Metro Manila, need na ng stricter enforcement']"
yung mining operations na yon is destroying the environment for profit ng iilan,['yung mining operations na yon is destroying the environment for profit ng iilan']
"dapat mas maraming tree planting programs, and actually monitor kung nabubuhay ang mga puno","['dapat mas maraming tree planting programs, and actually monitor kung nabubuhay ang mga puno']"
"nakakalungkot ang nangyayari sa Palawan, one of the most beautiful places in the world","['nakakalungkot ang nangyayari sa Palawan, one of the most beautiful places in the world']"
"I went to the beach and nakita ko ang daming basura, ang sakit sa puso","['I went to the beach and nakita ko ang daming basura, ang sakit sa puso']"
"sana mag-invest ang Pinas sa renewable energy, we have so much sun and wind","['sana mag-invest ang Pinas sa renewable energy, we have so much sun and wind']"
"grabe ang unemployment rate, graduates na walang makitang trabaho kahit may degree","['grabe ang unemployment rate, graduates na walang makitang trabaho kahit may degree']"
the cost of living is increasing pero ang salary ay hindi naman kasabay,"['the cost of living is increasing', 'pero ang salary ay hindi naman kasabay']"
I'm grateful I have a job pero I know so many na nag-struggle to find one,"['I'm grateful I have a job', 'pero I know so many na nag-struggle to find one']"
dapat mag-prioritize ng local industries ang gobyerno para may trabaho dito,['dapat mag-prioritize ng local industries ang gobyerno para may trabaho dito']
"grabe ang brain drain, the best and brightest are leaving and we can't blame them","['grabe ang brain drain, the best and brightest are leaving and we can't blame them']"
"sana may strong manufacturing sector tayo, hindi lang BPO ang industriya🤧","['sana may strong manufacturing sector tayo, hindi lang BPO ang industriya🤧']"
"ang negosyante sa Pinas ay burdened ng maraming taxes at requirements, kaya maraming lulugi","['ang negosyante sa Pinas ay burdened ng maraming taxes at requirements, kaya maraming lulugi']"
"grabe ang inflation, the peso is worth less and less every year","['grabe ang inflation, the peso is worth less and less every year']"
"I support small businesses, please buy local and stop buying from big corporations na walang puso","['I support small businesses, please buy local and stop buying from big corporations na walang puso']"
"ang economic policy natin needs serious reform, hindi lang tinkering sa edges","['ang economic policy natin needs serious reform, hindi lang tinkering sa edges']"
"grabe ang pressure sa mga estudyante ngayon, mental health is being ignored","['grabe ang pressure sa mga estudyante ngayon, mental health is being ignored']"
I'm a student and I struggle every day pero nobody talks about it openly,"['I'm a student and I struggle every day', 'pero nobody talks about it openly']"
"ang mental health support sa schools is almost nonexistent, we need to do better","['ang mental health support sa schools is almost nonexistent, we need to do better']"
"yung youth these days are more aware and more engaged, na-inspire ako sa kanila","['yung youth these days are more aware and more engaged, na-inspire ako sa kanila']"
I dream of a Philippines where young people don't have to leave to have a good life,['I dream of a Philippines where young people don't have to leave to have a good life']
