Comments,Processed Comments
"Researchers. Pero. Naka full battle gear bullet proof, tapos naka M-16 pa🤣🤣🤣","['Researchers.', 'Pero.', 'Naka full battle gear bullet proof', 'tapos naka M-16 pa🤣🤣🤣']"
"Biruin mo parehas lang den naman silang estudyante, (victim of npa) vs Ph army (excellent scholar students), tapos student na npa lang naririnig mo sa balita,

Wala bang compliment ang mga former scholar students army ng ph Jan, date estudyante lang sila ngayun matatapang na sila humaharap sa buhay! 

Congrats to our nation defenders for safing our provinces.🫡","['Biruin mo parehas lang den naman silang estudyante', '(victim of npa) vs Ph army (excellent scholar students)', 'tapos student na npa lang naririnig mo sa balita', 'Wala bang compliment ang mga former scholar students army ng ph Jan', 'date estudyante lang sila ngayun matatapang na sila humaharap sa buhay!', 'Congrats to our nation defenders for safing our provinces.🫡']"
"na ka-isko, let them know ✊🏽","['na ka-isko', 'let them know ✊🏽']"
where are those “facts” showing na some UP/State U students are indeed part of an armed organization? Lol how sure are we that those full battle gear you’re talking about isn’t planted? You’re just red-tagging at this point.,"['where are those “facts” showing na some UP/State U students are indeed part of an armed organization?', 'Lol how sure are we that those full battle gear you’re talking about isn’t planted?', 'You’re just red-tagging at this point.']"
KADIRI KA COVER PHOTO MO PA PAMILYA MO,['KADIRI KA '.'COVER PHOTO MO PA PAMILYA MO']
basta me kulay buhok..alams na,['basta me kulay buhok..alams na']
mas kadiri nag NPA tapos pag napatay sa engkwentro pa victim 😜😜😜🖕🖕🖕,['mas kadiri nag NPA tapos pag napatay sa engkwentro pa victim 😜😜😜🖕🖕🖕']
"HAHAHAHAH odiba ugaling red tagger talaga, nakakita lang ng alternative yung style goth agad???? ayaw ng thirst trapper pero manyakis????? unlock mo muna account mo 😘","['HAHAHAHAH odiba ugaling red tagger talaga', 'nakakita lang ng alternative yung style goth agad????', 'ayaw ng thirst trapper pero manyakis?????', 'unlock mo muna account mo 😘']"
paano mo nalaman na naka full gear sila??? Nasa battleground ka ba that time?,"['paano mo nalaman na naka full gear sila???', 'Nasa battleground ka ba that time?']"
bobo lang e no? ganyan kayo mag isip?,"['bobo lang e no?', 'ganyan kayo mag isip?']"
lol may kuha ang afp sa mga labi nila gaya nung nahuli ng buhay nung nakaraan na nag baliw baliwan baka NPA uniform pa Hindi ka ba nanonood ng Balita?,"['lol may kuha ang afp sa mga labi nila gaya nung nahuli ng buhay nung nakaraan na nag baliw baliwan baka NPA uniform pa', 'Hindi ka ba nanonood ng Balita?']"
sabihin mo yan sa mga NPA representatives sa Congress na nagpakayaman gamit tax ng taumbayan,['sabihin mo yan sa mga NPA representatives sa Congress na nagpakayaman gamit tax ng taumbayan']
tapos tong mga hindot na tao tinatanong bat daw ginagawang katatawanan. malamang pota sa sobrang talino naging tanga na eh ayun giling.,"['tapos tong mga hindot na tao tinatanong bat daw ginagawang katatawanan.', 'malamang pota sa sobrang talino naging tanga na eh ayun giling.']"
"lahat ng honorary
 wala na kwenta Pag naging NPA ka","['lahat ng honorary wala na kwenta', 'Pag naging NPA ka']"
Uisagaissda SeonHo Hada mga tanga kasi yang estudyante na yan,['mga tanga kasi yang estudyante na yan']
mas tanga ang nabibilib sa bulok na sistema ng gobyerno,['mas tanga ang nabibilib sa bulok na sistema ng gobyerno']
IRONICALLY CIA IS ONE OF THE FOUNDER OF NPA ALONGSIDE NINOY AQUINO AND JOMA SISON..NAG EESCAPE GOAT NA LANG ANG CIA ALAM NILA MABUBULGAR SILA DAHIL SA INTERNET .. NOON PA MAN SA BICOL ONE OF THE  CAMARINES AIRPORT MAY USA C130 LUMALAPAG DYAN NA DI PINA PA ALAM SA PHILIPPINES MILITARY.. MGA SUPPLY PALA PARA SA NPA ..TO THINK BICOL IS THE STRONGHOLD OF NPA DAMI DYAN ..AT ISA PA ITO,"['IRONICALLY CIA IS ONE OF THE FOUNDER OF NPA ALONGSIDE NINOY AQUINO AND JOMA SISON..', 'NAG EESCAPE GOAT NA LANG ANG CIA ALAM NILA MABUBULGAR SILA DAHIL SA INTERNET ..', 'NOON PA MAN SA BICOL ONE OF THE CAMARINES AIRPORT MAY USA C130 LUMALAPAG DYAN NA DI PINA PA ALAM SA PHILIPPINES MILITARY..', 'MGA SUPPLY PALA PARA SA NPA ..', 'TO THINK BICOL IS THE STRONGHOLD OF NPA DAMI DYAN ..', 'AT ISA PA ITO']"
"na Corned Beef Daw...😅😅😅

Karne Norte sa Bomba","['na Corned Beef Daw...😅😅😅', 'Karne Norte sa Bomba']"
"ah social media... Anong news outlets ba Kasi, mga bobo pa naman kayo na paniwalang paniwala sa mga post ☹️","['ah social media...', 'Anong news outlets ba Kasi', 'mga bobo pa naman kayo na paniwalang paniwala sa mga post ☹️']"
"ito bobo Ohh, pakamatay ka ng walang saysay paransa ibang gaya ng. Mga NPA ay masahol. Pa sa 8080🤣 habang yung mga anak ng leader nag paparty, nag babakasyon sa mga resort/beaches🤣, yung mga feeling hero kuno na uto uto na mga studyante nag papa breeding ky commander at nasa bundok naging cornbip-19🤣","['ito bobo Ohh', 'pakamatay ka ng walang saysay para sa ibang gaya ng mga NPA ay masahol pa sa 8080🤣', 'habang yung mga anak ng leader nag paparty', 'nag babakasyon sa mga resort/beaches🤣', 'yung mga feeling hero kuno na uto uto na mga studyante nag papa breeding ky commander at nasa bundok naging cornbip-19🤣']"
"Bullshit. Give me the exact citation and reference sa evidence niyong ‘yan na naka full battle gear siya. Because as far as I've seen, ang daming nagsasabi niyan pero ni isang OFFICIAL STATEMENTS or NEWS ARTICLE from known sources posted such claims.","['Bullshit.', 'Give me the exact citation and reference sa evidence niyong ‘yan na naka full battle gear siya.', 'Because as far as I\'ve seen', 'ang daming nagsasabi niyan pero ni isang OFFICIAL STATEMENTS or NEWS ARTICLE from known sources posted such claims.']"
"LENYA yan si ROGER JER JER, one the list na mostwanted sa pinas may million patong sa ulo kasama niyang naging cornbip-19. Kasama niya nag research yung mostwanted sa pinas🤣","['LENYA yan si ROGER JER JER', 'one the list na mostwanted sa pinas may million patong sa ulo kasama niyang naging cornbip-19.', 'Kasama niya nag research yung mostwanted sa pinas🤣']"
ohh diba got you bitch hahaha ingat ka baka ikaw na sumunod na kormbip goth bitch 🤣🤣🤣🖕🖕🖕,"['ohh diba got you bitch hahaha', 'ingat ka baka ikaw na sumunod na kormbip goth bitch 🤣🤣🤣🖕🖕🖕']"
sampa na.,['sampa na.']
baddieee na mukhang baddding? 😂,['baddieee na mukhang baddding? 😂']
"you're stupid, man. Tumahimik ka na lang kung wala kang magandang sasabihin. Maki-dalamhati ka hindi gan'yan.","['you're stupid', 'man'. 'Tumahimik ka na lang kung wala kang magandang sasabihin'. 'Maki-dalamhati ka hindi gan'yan.']"
"aso ng mga kapitalista, utusan ng mga malalaking aso na general","['aso ng mga kapitalista', 'utusan ng mga malalaking aso na general']"
"sinu ba nabibilib sa system ng government natin aber? Porket galit ka sa gobyerno, sasama ka sa terrorist group activities at sa mga legal front nito na nag propromote ng socialism and communism?? Tanga ang tawag dun, mentally ill retards","['sinu ba nabibilib sa system ng government natin aber?', 'Porket galit ka sa gobyerno', 'sasama ka sa terrorist group activities at sa mga legal front nito na nag propromote ng socialism and communism??', 'Tanga ang tawag dun', 'mentally ill retards']"
"Uisagaissda SeonHo Hada truth! dspat sa malacanang sila, paalisin ang mga korap! hindi sa bundok! bakit kinakalaban nila sundalo wala namang ginagawa sa kanila. mabait pa nga sundalo pag nahuli siya di sila sinasaktan at pinapakain pa! basta huwag sila manguna sa barilan.","['dspat sa malacanang sila', 'paalisin ang mga korap!'.'hindi sa bundok!'.'bakit kinakalaban nila sundalo wala namang ginagawa sa kanila'.'mabait pa nga sundalo pag nahuli siya di sila sinasaktan at pinapakain pa!'.' basta huwag sila manguna sa barilan.']"
cornbip na po ba siya?,['cornbip na po ba siya?']
naka taste na ata siya Kay Kommander,['naka taste na ata siya Kay Kommander']
"sabi ng mga mismong taga UP , may mga prof di umano at admin na ano din... kaya Open sila sa ganyan","['sabi ng mga mismong taga UP', 'may mga prof di umano at admin na ano din... '.'kaya Open sila sa ganyan']"
basta product ng UP yan na susunod na magiging NPA. Tas yung mga lider sasarap ng buhay sa ibang bansa. Magagaling mangumbinsi ang mga prof. Iskolar ng bayan numbawan,"['basta product ng UP yan na susunod na magiging NPA.', 'Tas yung mga lider sasarap ng buhay sa ibang bansa.', 'Magagaling mangumbinsi ang mga prof.', 'Iskolar ng bayan numbawan']"
"kita mo talaga dito yung pagiging fangirl ni Dutae kay Joma Sison, yung expression nya habang kausap nya yung teroristang si Joma Sison, kita talaga na NPA dati si digong.","['kita mo talaga dito yung pagiging fangirl ni Dutae kay Joma Sison', 'yung expression nya habang kausap nya yung teroristang si Joma Sison', 'kita talaga na NPA dati si digong.']"
"yep, alam ko dahil kahit sa Taiwan may existing na communist party. Pero bobo nag post ng picture sa taas lol","['yep', 'alam ko dahil kahit sa Taiwan may existing na communist party.', 'Pero bobo nag post ng picture sa taas lol']"
"isa pang problema sa mga so-called ""legal"" fronts ng left eh open secret na sila ang entry point ng mga kabataan papunta sa bundok.  Marami silang sinisirang buhay ng mga kabataan.","['isa pang problema sa mga so-called ""legal"" fronts ng left eh open secret na sila ang entry point ng mga kabataan papunta sa bundok.', 'Marami silang sinisirang buhay ng mga kabataan.']"
ang masasabi ko lang eh maganda pangalan mo. :P,['ang masasabi ko lang eh maganda pangalan mo. :P']
"Nabigo ang eskwelahan sa pagprotekta sa estudyante nila. 

Pag protekta sa maling impormasyon

Pag protekta laban sa mga gustong lumason sa isipan ng estudyante.

Bigo sa pag protekta sa kinabukasan ng bata.

Bigo ang eskwelahan. 

Kung hindi kayo bigo, sana buhay pa ang mga kabataan na yan. Sana may kinabukasan pa silang haharapin.","['Nabigo ang eskwelahan sa pagprotekta sa estudyante nila.', 'Pag protekta sa maling impormasyon.', 'Pag protekta laban sa mga gustong lumason sa isipan ng estudyante.', 'Bigo sa pag protekta sa kinabukasan ng bata.', 'Bigo ang eskwelahan.', 'Kung hindi kayo bigo', 'sana buhay pa ang mga kabataan na yan.', 'Sana may kinabukasan pa silang haharapin.']"
Kasalanan niya yan. Naniwala siya sa baluktot na ideolohiya ng kaliwa. Sa pag aakala na may magagawa siya para mabago ang sistema.,"['Kasalanan niya yan.', 'Naniwala siya sa baluktot na ideolohiya ng kaliwa.', 'Sa pag aakala na may magagawa siya para mabago ang sistema.']"
"hindi nman yan sila kawalan kung mamatay mn sila, dahil magiging politiko pa yan sila pagdating ng panahon at siyang magpapahirap sa mga ordinaryong pilipino dahil nanakawin lng nila ang pondo ng bayan! so be it! let them die the way they wanted to....👎👎👎","['hindi nman yan sila kawalan kung mamatay mn sila', 'dahil magiging politiko pa yan sila pagdating ng panahon at siyang magpapahirap sa mga ordinaryong pilipino dahil nanakawin lng nila ang pondo ng bayan!', 'so be it!', 'let them die the way they wanted to....👎👎👎']"
"Kawawa lang ang magulang mo. While watching this. Di ko masisi mga nasa comments section, dahil alam namin ang takbo at pag iisip ng NPA na yan.","['Kawawa lang ang magulang mo.', 'While watching this.', 'Di ko masisi mga nasa comments section', 'dahil alam namin ang takbo at pag iisip ng NPA na yan.']"
I think you need to do some fact checks and also research about community involvement in the Philippines there's a lot of articles there and isama mo na din yung hypocriticism ng Philippine army and iba pang organization sa government and you'd understand,['I think you need to do some fact checks and also research about community involvement in the Philippines'.' there's a lot of articles there and isama mo na din yung hypocriticism ng Philippine army and iba pang organization sa government and you'd understand']
d po ba sila pinasuot ng gears or nung umakyat sila nakasuot na sila nga ganyang gears?,['d po ba sila pinasuot ng gears or nung umakyat sila nakasuot na sila nga ganyang gears?']
bakit tinakpan pa yung muka?,['bakit tinakpan pa yung muka?']
was found armed &  in full tactical gear. Mahirap sugpuin ang communism sa UP kung may mga higher up or profs doon na recruiter for CCP NPA. That school needs massive government intervention.,"['was found armed & in full tactical gear.', 'Mahirap sugpuin ang communism sa UP kung may mga higher up or profs doon na recruiter for CCP NPA.', 'That school needs massive government intervention.']"
ang tinutukoy nia po ata is yung kasundaluhan natin na dating mga istudyante rin pero mas pinilit maging sundalo ng bansa natin...,['ang tinutukoy nia po ata is yung kasundaluhan natin na dating mga istudyante rin pero mas pinilit maging sundalo ng bansa natin...']
"so if they are scholars they probably knows right from wrong. They choose it so they must accept the reward. In the first place kung may isip ka talaga di ka pwedi diktahan na ipaglaban mo ang ideolohiya ng IBA, para saan fame, money. Pinili mo kaya tanggapin Niya kung ano kahinatnan sa buhay nila.","['so if they are scholars they probably knows right from wrong.', 'They choose it so they must accept the reward.', 'In the first place kung may isip ka talaga di ka pwedi diktahan na ipaglaban mo ang ideolohiya ng IBA', 'para saan fame', 'money.', 'Pinili mo kaya tanggapin Niya kung ano kahinatnan sa buhay nila.']"
"""Student na npa"" any concrete proof?","['""Student na npa"" any concrete proof?']"
"wala na di na havey, dinilete na niya kasi comment niya","['wala na di na havey', 'dinilete na niya kasi comment niya']"
"oi pasosyal na palamunen, ikaw ang deserve m@m@tay dahil wala kang silbe sa lipunan🤣","['oi pasosyal na palamunen', 'ikaw ang deserve m@m@tay dahil wala kang silbe sa lipunan🤣']"
lost buddiee mabuti wala kung nandoon ka na corned beef ka rin hehehe,"['lost buddiee', 'mabuti wala kung nandoon ka na corned beef ka rin hehehe']"
MERON TALAGA BOBO LANG TALAGA KAYO LALO NA ANG MGA KAGAYA MO!,['MERON TALAGA BOBO LANG TALAGA KAYO LALO NA ANG MGA KAGAYA MO!']
"oh? ano ung nabago? naging bakla lahat? naging pokpok mga babae ng kaliwa? naging corned beef mga yan? galit na galit ampota gustong sumunod sa yapak ng mga ""researchers"" na yan eh","['oh?', 'ano ung nabago?', 'naging bakla lahat?', 'naging pokpok mga babae ng kaliwa?', 'naging corned beef mga yan?', 'galit na galit ampota gustong sumunod sa yapak ng mga ""researchers"" na yan eh']"
send mo pa sakin pano ako makikipag diskusyon nyan kung naka off yung comment?,['send mo pa sakin pano ako makikipag diskusyon nyan kung naka off yung comment?']
not the School its the individual with their idealisim sa amin sa PUP ang magandang ginawa nila is pag hindi ka naka graduate within specified timeline for what so ever reason hindi ka na makakapag enroll kaya na neutralize ung mga dating aktibista samin na naninirahan na sa PUP ung iba 10 years na ata nag aaral d pa matapos tapos makitakita mo andun sa kwarto ng mga aktibista naka tambay,"['not the School its the individual with their idealisim', 'sa amin sa PUP ang magandang ginawa nila is pag hindi ka naka graduate within specified timeline for what so ever reason hindi ka na makakapag enroll', 'kaya na neutralize ung mga dating aktibista samin na naninirahan na sa PUP ung iba 10 years na ata nag aaral d pa matapos tapos', 'makitakita mo andun sa kwarto ng mga aktibista naka tambay']"
yun may recruiting effort yung NPA tapos hinahayaan lang nung gobyerno?,['yun may recruiting effort yung NPA tapos hinahayaan lang nung gobyerno?']
bobo kaba? pumipili ba ng target ang bala? nakita sya ng mga sundalo na kasama sa NPA malamang matatamaan talaga yan gamitin mo utak mo BOBO!,"['bobo kaba?', 'pumipili ba ng target ang bala?', 'nakita sya ng mga sundalo na kasama sa NPA malamang matatamaan talaga yan gamitin mo utak mo BOBO!']"
or na Deads di sila proud pagiging NPA nila??ganun ba yon??nag reresearch lang sila??so anong point ng pinaglalaban nila??,"['or na Deads di sila proud pagiging NPA nila??', 'ganun ba yon??', 'nag reresearch lang sila??', 'so anong point ng pinaglalaban nila??']"
"tama ito, di basta basta gumagalaw mga militar na walang planning operation meetings, surveillance, hanggang sa execution.","['tama ito', 'di basta basta gumagalaw mga militar na walang planning operation meetings', 'surveillance', 'hanggang sa execution.']"
inassume mo na agad. Retarded comment detected,"['inassume mo na agad.', 'Retarded comment detected']"
"wala akong ina-assume sa comment ko, dahil hindi isolated case yan dito sa pilipinas...ikaw ang nag-aassume na retarted ang comment na wala k nmang inilatag na ebidensiya kung bkit ang isang estudyante ng U.P ay napunta dun sa bundok... parang taga-ibang planeta ka n di mo alam ang nangyayari sa bansa natin? o bka wala ka sa realidad ng buhay? may saltik ka pag ganern....😂😂😂","['wala akong ina-assume sa comment ko', 'dahil hindi isolated case yan dito sa pilipinas...', 'ikaw ang nag-aassume na retarted ang comment na wala k nmang inilatag na ebidensiya kung bkit ang isang estudyante ng U.P ay napunta dun sa bundok...', 'parang taga-ibang planeta ka n di mo alam ang nangyayari sa bansa natin?', 'o bka wala ka sa realidad ng buhay?', 'may saltik ka pag ganern....😂😂😂']"
sabagay magiging rida din to nian na dakdak lang paepal lang wala naman nagagawa trapo din magnanakaw pa din insert pa more 🤣,"['sabagay magiging rida din to nian na dakdak lang paepal lang wala naman nagagawa', 'trapo din magnanakaw pa din insert pa more 🤣']"
bread na,['bread na']
"kung may manloloko, may maloloko at worse mamamatay. dun nalang ako sa tesda. sigurado may magandang trabaho at walang manghihikayat patungong kaliwa. makakain na nga lang ng cornsilog.","['kung may manloloko', 'may maloloko at worse mamamatay.', 'dun nalang ako sa tesda.', 'sigurado may magandang trabaho at walang manghihikayat patungong kaliwa.', 'makakain na nga lang ng cornsilog.']"
"Sayang ang future ng bata.. palaisipan.. Bakit kadalsan pag may encounter, may nahuhuli o nappatay na student-researcher? sino ang nagpadala sa kanila sa area? Wala bang pananagutan ang mga yn sa ilalim ng ating batas?","['Sayang ang future ng bata..', 'palaisipan..', 'Bakit kadalsan pag may encounter', 'may nahuhuli o nappatay na student-researcher?', 'sino ang nagpadala sa kanila sa area?', 'Wala bang pananagutan ang mga yn sa ilalim ng ating batas?']"
nag research lang tapos ending kornbip!,['nag research lang tapos ending kornbip!']
kung kelan mas modern na ang mundo mas dumadami pa ang tanqa sa mga university🤔,['kung kelan mas modern na ang mundo mas dumadami pa ang tanqa sa mga university🤔']
hayaan muna mahalaga may enough na talino tayo para piliin maging tao kesa cornbeef,"['hayaan muna', 'mahalaga may enough na talino tayo para piliin maging tao kesa cornbeef']"
oh paki ko dyan? Point dito pare parehas yan. Bobo hahhaha sesend mo pic nung Isa pero Yung suportado mong polpolitiko hindi? Tanga lang?,"['oh paki ko dyan?', 'Point dito pare parehas yan.', 'Bobo hahhaha', 'sesend mo pic nung Isa pero Yung suportado mong polpolitiko hindi?', 'Tanga lang?']"
"ok na sana eh kaso yung cornbeef foul bro 
UP student ako and kahit ako di ako sasali sa NPA, maganda yung point ng comment nya walang mali ang ipaglaban ang tama sa Pinas pero yung sasali sa terrorist group nahh.","['ok na sana eh kaso yung beef foul bro', 'UP student ako and kahit ako di ako sasali sa NPA', 'maganda yung point ng comment nya walang mali ang ipaglaban ang tama sa Pinas pero yung sasali sa terrorist group nahh.']"
tanda mo na bopols kpa din hahaha 🤣😂,['tanda mo na bopols kpa din hahaha 🤣😂']
baddie mo na corned beef na 🤣🤣🤣,['baddie mo na corned beef na 🤣🤣🤣']
"What the heck, namatay na nga ung tao ganyan pa mga pinag sasabi nyong mga depungal kayo, kalalaking tao nahinga ampota","['What the heck', 'namatay na nga ung tao ganyan pa mga pinag sasabi nyong mga depungal kayo', 'kalalaking tao nahinga ampota']"
please shamel wag kang mamundok. Gagawin ka lang parausan ni komander HAHAHA,"['please shamel wag kang mamundok.', 'Gagawin ka lang parausan ni komander HAHAHA']"
hahaha brooo stop defending her. Kronbip na yan. You cant smash her.,"['hahaha brooo stop defending her.', 'Kronbip na yan.', 'You cant smash her.']"
kung pangit ako ano pa kaya itatawag sayo pabibong palamunen 🤣🤣🤣,['kung pangit ako ano pa kaya itatawag sayo pabibong palamunen 🤣🤣🤣']
nag college Tesda affiliated Ako Walaan lang akong nasagupa na mga liking kaliwa napaka payapa talaga Ng Buhay kung mag aaral ka lang Saka mo na problemahin problema Ng pilipinas,"['nag college Tesda affiliated Ako', 'Walaan lang akong nasagupa na mga liking kaliwa', 'napaka payapa talaga Ng Buhay kung mag aaral ka lang', 'Saka mo na problemahin problema Ng pilipinas']"
noon pa yan may mga condoms at pills na narerecover pag naraid sila. Di ko lang alam ngayon 😂😂,"['noon pa yan may mga condoms at pills na narerecover pag naraid sila.', 'Di ko lang alam ngayon 😂😂']"
really? making joke about rape? sana okay ka lang,"['really?', 'making joke about rape?', 'sana okay ka lang']"
kaya pangit lasa ng cdo cornedr beef mas masarap yung sa o! save tapos di pa galing pinas,"['kaya pangit lasa ng cdo cornedr beef', 'mas masarap yung sa o! save tapos di pa galing pinas']"
"Akyat na sa bundok,need nila ng kapalit since nalagasan kayo naging corned beef 19😂😂","['Akyat na sa bundok', 'need nila ng kapalit since nalagasan kayo naging corned beef 19😂😂']"
atupagin mu buhay mu...pg nagkaron k ng anak n rebelde saka k yumawyaw...puro kayo may pa hero complex maglaba ng mga panty n'yo d n'yo nga magawa...ni hindi nyo p kayang buhayin mga sarili n'yo npkayayabang n'yo...ska kayo mgyabang kundi kayo nagsisitakbo dn s mga magulang n'yo..,"['atupagin mu buhay mu...', 'pg nagkaron k ng anak n rebelde saka k yumawyaw...', 'puro kayo may pa hero complex maglaba ng mga panty n\'yo d n\'yo nga magawa...', 'ni hindi nyo p kayang buhayin mga sarili n\'yo npkayayabang n\'yo...', 'ska kayo mgyabang kundi kayo nagsisitakbo dn s mga magulang n\'yo..']"
Pinag sasabi mo girl? Obligasyon ng magulang na palakihin ang anak nila kung di nagawa sayo yon ng magulang mo kawawa ka naman. hindi mayabang ang pagkakaron ng kaalaman sa paligid at sa nangyayari sa lipunan. Edi sana DI KAYO NAG ANAK KUNG AYAW NIYO NA MAY UMASANG ANAK SAINYO 8080!,"['Pinag sasabi mo girl?', 'Obligasyon ng magulang na palakihin ang anak nila kung di nagawa sayo yon ng magulang mo kawawa ka naman.', 'hindi mayabang ang pagkakaron ng kaalaman sa paligid at sa nangyayari sa lipunan.', 'Edi sana DI KAYO NAG ANAK KUNG AYAW NIYO NA MAY UMASANG ANAK SAINYO 8080!']"
"Erwin Libres-Mijares Vergara FYI lang ah. 1% lang ng graduates ng UP ang sumasali sa ganyan. mas marami paring graduate ng UP ang walang pake o hindi nasali sa mga NPA. FYI lang, di lang yan sa UP maging sa ibang unibersidad","['FYI lang ah.', '1% lang ng graduates ng UP ang sumasali sa ganyan.', 'mas marami paring graduate ng UP ang walang pake o hindi nasali sa mga NPA.', 'FYI lang', 'di lang yan sa UP maging sa ibang unibersidad']"
Erwin Libres-Mijares Vergara matagal na sayang inuboy ni bangag at inday sayad,['matagal na sayang inuboy ni bangag at inday sayad']
